#CAMI Format for Binning
@Version:0.9.0
@SampleID:gsa
@@SEQUENCEID	BINID
RL|S1|C8024	11
RL|S1|C8041	11
RL|S1|C8045	11
RL|S1|C8047	11
RL|S1|C8050	11
RL|S1|C8074	11
RL|S1|C8139	11
RL|S1|C8169	11
RL|S1|C8174	11
RL|S1|C8217	11
RL|S1|C8227	11
RL|S1|C8270	11
RL|S1|C8304	11
RL|S1|C8364	11
RL|S1|C8393	11
RL|S1|C8404	11
RL|S1|C8413	11
RL|S1|C8417	11
RL|S1|C8482	11
RL|S1|C8495	11
RL|S1|C8510	11
RL|S1|C8524	11
RL|S1|C8647	11
RL|S1|C8666	11
RL|S1|C8691	11
RL|S1|C8740	11
RL|S1|C8761	11
RL|S1|C8803	11
RL|S1|C8811	11
RL|S1|C8818	11
RL|S1|C8827	11
RL|S1|C8845	11
RL|S1|C8880	11
RL|S1|C8901	11
RL|S1|C8907	11
RL|S1|C8949	11
RL|S1|C8989	11
RL|S1|C9021	11
RL|S1|C9055	11
RL|S1|C9106	11
RL|S1|C9107	11
RL|S1|C9134	11
RL|S1|C9217	11
RL|S1|C9253	11
RL|S1|C9276	11
RL|S1|C9337	11
RL|S1|C9345	11
RL|S1|C9409	11
RL|S1|C9427	11
RL|S1|C9457	11
RL|S1|C9505	11
RL|S1|C9517	11
RL|S1|C9557	11
RL|S1|C9558	11
RL|S1|C9559	11
RL|S1|C9586	11
RL|S1|C9639	11
RL|S1|C9700	11
RL|S1|C9765	11
RL|S1|C9839	11
RL|S1|C9897	11
RL|S1|C9905	11
RL|S1|C9909	11
RL|S1|C9924	11
RL|S1|C9958	11
RL|S1|C9965	11
RL|S1|C10015	11
RL|S1|C10056	11
RL|S1|C10059	11
RL|S1|C10091	11
RL|S1|C10109	11
RL|S1|C10170	11
RL|S1|C10184	11
RL|S1|C10209	11
RL|S1|C10223	11
RL|S1|C10251	11
RL|S1|C10273	11
RL|S1|C10322	11
RL|S1|C10360	11
RL|S1|C10388	11
RL|S1|C10390	11
RL|S1|C10399	11
RL|S1|C10415	11
RL|S1|C10432	11
RL|S1|C10521	11
RL|S1|C10586	11
RL|S1|C10625	11
RL|S1|C10665	11
RL|S1|C10668	11
RL|S1|C10677	11
RL|S1|C10680	11
RL|S1|C10722	11
RL|S1|C10725	11
RL|S1|C10729	11
RL|S1|C10730	11
RL|S1|C10766	11
RL|S1|C10768	11
RL|S1|C10795	11
RL|S1|C10828	11
RL|S1|C10838	11
RL|S1|C10840	11
RL|S1|C10853	11
RL|S1|C10919	11
RL|S1|C10938	11
RL|S1|C10982	11
RL|S1|C10988	11
RL|S1|C11059	11
RL|S1|C11062	11
RL|S1|C11086	11
RL|S1|C11130	11
RL|S1|C11138	11
RL|S1|C11146	11
RL|S1|C11153	11
RL|S1|C11162	11
RL|S1|C11167	11
RL|S1|C11170	11
RL|S1|C11190	11
RL|S1|C11215	11
RL|S1|C11219	11
RL|S1|C11240	11
RL|S1|C11256	11
RL|S1|C11257	11
RL|S1|C11337	11
RL|S1|C11429	11
RL|S1|C11446	11
RL|S1|C11472	11
RL|S1|C11479	11
RL|S1|C11523	11
RL|S1|C11524	11
RL|S1|C11574	11
RL|S1|C11616	11
RL|S1|C11635	11
RL|S1|C11672	11
RL|S1|C11686	11
RL|S1|C11738	11
RL|S1|C11751	11
RL|S1|C11753	11
RL|S1|C11779	11
RL|S1|C11800	11
RL|S1|C11890	11
RL|S1|C11935	11
RL|S1|C12044	11
RL|S1|C12134	11
RL|S1|C12207	11
RL|S1|C12235	11
RL|S1|C12259	11
RL|S1|C12275	11
RL|S1|C12297	11
RL|S1|C12307	11
RL|S1|C12329	11
RL|S1|C12344	11
RL|S1|C12356	11
RL|S1|C12401	11
RL|S1|C12429	11
RL|S1|C12435	11
RL|S1|C12456	11
RL|S1|C12462	11
RL|S1|C12463	11
RL|S1|C12474	11
RL|S1|C12485	11
RL|S1|C12501	11
RL|S1|C12545	11
RL|S1|C12583	11
RL|S1|C12641	11
RL|S1|C12665	11
RL|S1|C12667	11
RL|S1|C12677	11
RL|S1|C12714	11
RL|S1|C12738	11
RL|S1|C12744	11
RL|S1|C12748	11
RL|S1|C12751	11
RL|S1|C12777	11
RL|S1|C12799	11
RL|S1|C12800	11
RL|S1|C12900	11
RL|S1|C12926	11
RL|S1|C12948	11
RL|S1|C12962	11
RL|S1|C13037	11
RL|S1|C13072	11
RL|S1|C13155	11
RL|S1|C13156	11
RL|S1|C13232	11
RL|S1|C13259	11
RL|S1|C13295	11
RL|S1|C13307	11
RL|S1|C13337	11
RL|S1|C13439	11
RL|S1|C13451	11
RL|S1|C13470	11
RL|S1|C13520	11
RL|S1|C13540	11
RL|S1|C13583	11
RL|S1|C13631	11
RL|S1|C13640	11
RL|S1|C13670	11
RL|S1|C13690	11
RL|S1|C13715	11
RL|S1|C13770	11
RL|S1|C13923	11
RL|S1|C13938	11
RL|S1|C13940	11
RL|S1|C13950	11
RL|S1|C13966	11
RL|S1|C13975	11
RL|S1|C14004	11
RL|S1|C14013	11
RL|S1|C14015	11
RL|S1|C14053	11
RL|S1|C14060	11
RL|S1|C14123	11
RL|S1|C14141	11
RL|S1|C14164	11
RL|S1|C14173	11
RL|S1|C14196	11
RL|S1|C14235	11
RL|S1|C14278	11
RL|S1|C14294	11
RL|S1|C14327	11
RL|S1|C14345	11
RL|S1|C14457	11
RL|S1|C14493	11
RL|S1|C14570	11
RL|S1|C14612	11
RL|S1|C14671	11
RL|S1|C14685	11
RL|S1|C14697	11
RL|S1|C14705	11
RL|S1|C14735	11
RL|S1|C14788	11
RL|S1|C14820	11
RL|S1|C14847	11
RL|S1|C14862	11
RL|S1|C14875	11
RL|S1|C14886	11
RL|S1|C14896	11
RL|S1|C14898	11
RL|S1|C14962	11
RL|S1|C14990	11
RL|S1|C15030	11
RL|S1|C15038	11
RL|S1|C15045	11
RL|S1|C15048	11
RL|S1|C15052	11
RL|S1|C15084	11
RL|S1|C15085	11
RL|S1|C15096	11
RL|S1|C15105	11
RL|S1|C15115	11
RL|S1|C15130	11
RL|S1|C15132	11
RL|S1|C15169	11
RL|S1|C15221	11
RL|S1|C15226	11
RL|S1|C15257	11
RL|S1|C15288	11
RL|S1|C15290	11
RL|S1|C15310	11
RL|S1|C15364	11
RL|S1|C15372	11
RL|S1|C15411	11
RL|S1|C15426	11
RL|S1|C15428	11
RL|S1|C15444	11
RL|S1|C15465	11
RL|S1|C15486	11
RL|S1|C15493	11
RL|S1|C15523	11
RL|S1|C15549	11
RL|S1|C15563	11
RL|S1|C15645	11
RL|S1|C15675	11
RL|S1|C15701	11
RL|S1|C15790	11
RL|S1|C15791	11
RL|S1|C15813	11
RL|S1|C15821	11
RL|S1|C15843	11
RL|S1|C15858	11
RL|S1|C15859	11
RL|S1|C15890	11
RL|S1|C15927	11
RL|S1|C15935	11
RL|S1|C15970	11
RL|S1|C15994	11
RL|S1|C16006	11
RL|S1|C16008	11
RL|S1|C16021	11
RL|S1|C16105	11
RL|S1|C16162	11
RL|S1|C16165	11
RL|S1|C16220	11
RL|S1|C16226	11
RL|S1|C16239	11
RL|S1|C16240	11
RL|S1|C16257	11
RL|S1|C16358	11
RL|S1|C16383	11
RL|S1|C16404	11
RL|S1|C16433	11
RL|S1|C16469	11
RL|S1|C16494	11
RL|S1|C16501	11
RL|S1|C16528	11
RL|S1|C16635	11
RL|S1|C16647	11
RL|S1|C16677	11
RL|S1|C16718	11
RL|S1|C16746	11
RL|S1|C16762	11
RL|S1|C16792	11
RL|S1|C16806	11
RL|S1|C16851	11
RL|S1|C16856	11
RL|S1|C16862	11
RL|S1|C16934	11
RL|S1|C16958	11
RL|S1|C16994	11
RL|S1|C17022	11
RL|S1|C17051	11
RL|S1|C17097	11
RL|S1|C17160	11
RL|S1|C17161	11
RL|S1|C17162	11
RL|S1|C17166	11
RL|S1|C17188	11
RL|S1|C17189	11
RL|S1|C17193	11
RL|S1|C17270	11
RL|S1|C17278	11
RL|S1|C17316	11
RL|S1|C17331	11
RL|S1|C17356	11
RL|S1|C17359	11
RL|S1|C17384	11
RL|S1|C17404	11
RL|S1|C17417	11
RL|S1|C17421	11
RL|S1|C17480	11
RL|S1|C17488	11
RL|S1|C17568	11
RL|S1|C17615	11
RL|S1|C17680	11
RL|S1|C17685	11
RL|S1|C17690	11
RL|S1|C17697	11
RL|S1|C17723	11
RL|S1|C17760	11
RL|S1|C17768	11
RL|S1|C17807	11
RL|S1|C17815	11
RL|S1|C17847	11
RL|S1|C17915	11
RL|S1|C17920	11
RL|S1|C17928	11
RL|S1|C17937	11
RL|S1|C17958	11
RL|S1|C17968	11
RL|S1|C17971	11
RL|S1|C17977	11
RL|S1|C17981	11
RL|S1|C17999	11
RL|S1|C18053	11
RL|S1|C18106	11
RL|S1|C18139	11
RL|S1|C18170	11
RL|S1|C18176	11
RL|S1|C18201	11
RL|S1|C18205	11
RL|S1|C18219	11
RL|S1|C18230	11
RL|S1|C18384	11
RL|S1|C18421	11
RL|S1|C18436	11
RL|S1|C18461	11
RL|S1|C18474	11
RL|S1|C18478	11
RL|S1|C18535	11
RL|S1|C18570	11
RL|S1|C18607	11
RL|S1|C18629	11
RL|S1|C18638	11
RL|S1|C18639	11
RL|S1|C18640	11
RL|S1|C18648	11
RL|S1|C18660	11
RL|S1|C18661	11
RL|S1|C18665	11
RL|S1|C18729	11
RL|S1|C18734	11
RL|S1|C18742	11
RL|S1|C18757	11
RL|S1|C18771	11
RL|S1|C18773	11
RL|S1|C18784	11
RL|S1|C18786	11
RL|S1|C18809	11
RL|S1|C18812	11
RL|S1|C18835	11
RL|S1|C18849	11
RL|S1|C18885	11
RL|S1|C18908	11
RL|S1|C18933	11
RL|S1|C18938	11
RL|S1|C18964	11
RL|S1|C18982	11
RL|S1|C19009	11
RL|S1|C19012	11
RL|S1|C19039	11
RL|S1|C19051	11
RL|S1|C19084	11
RL|S1|C19086	11
RL|S1|C19087	11
RL|S1|C19101	11
RL|S1|C19112	11
RL|S1|C19139	11
RL|S1|C19146	11
RL|S1|C19168	11
RL|S1|C19184	11
RL|S1|C19251	11
RL|S1|C19267	11
RL|S1|C19319	11
RL|S1|C19364	11
RL|S1|C19382	11
RL|S1|C19439	11
RL|S1|C19441	11
RL|S1|C19467	11
RL|S1|C19477	11
RL|S1|C358	12
RL|S1|C381	12
RL|S1|C458	12
RL|S1|C754	12
RL|S1|C1486	12
RL|S1|C2427	12
RL|S1|C2944	12
RL|S1|C3067	12
RL|S1|C4085	12
RL|S1|C4417	12
RL|S1|C7911	12
RL|S1|C8201	12
RL|S1|C8260	12
RL|S1|C8407	12
RL|S1|C8671	12
RL|S1|C8876	12
RL|S1|C9338	12
RL|S1|C9490	12
RL|S1|C10556	12
RL|S1|C10901	12
RL|S1|C10902	12
RL|S1|C10956	12
RL|S1|C10999	12
RL|S1|C11228	12
RL|S1|C11583	12
RL|S1|C11848	12
RL|S1|C12126	12
RL|S1|C12331	12
RL|S1|C13062	12
RL|S1|C14038	12
RL|S1|C14466	12
RL|S1|C14534	12
RL|S1|C14616	12
RL|S1|C15329	12
RL|S1|C16026	12
RL|S1|C16323	12
RL|S1|C16353	12
RL|S1|C16768	12
RL|S1|C17970	12
RL|S1|C18198	12
RL|S1|C18224	12
RL|S1|C235	13
RL|S1|C310	13
RL|S1|C400	13
RL|S1|C590	13
RL|S1|C1860	13
RL|S1|C2940	13
RL|S1|C3439	13
RL|S1|C3797	13
RL|S1|C3842	13
RL|S1|C4139	13
RL|S1|C4242	13
RL|S1|C4793	13
RL|S1|C5160	13
RL|S1|C5534	13
RL|S1|C6097	13
RL|S1|C6589	13
RL|S1|C7072	13
RL|S1|C7287	13
RL|S1|C8608	13
RL|S1|C8710	13
RL|S1|C9038	13
RL|S1|C9042	13
RL|S1|C9498	13
RL|S1|C9624	13
RL|S1|C9627	13
RL|S1|C9834	13
RL|S1|C10122	13
RL|S1|C11469	13
RL|S1|C11976	13
RL|S1|C12163	13
RL|S1|C12201	13
RL|S1|C12808	13
RL|S1|C13172	13
RL|S1|C13187	13
RL|S1|C13314	13
RL|S1|C13534	13
RL|S1|C13597	13
RL|S1|C13738	13
RL|S1|C13942	13
RL|S1|C14399	13
RL|S1|C14516	13
RL|S1|C14718	13
RL|S1|C14920	13
RL|S1|C15576	13
RL|S1|C16037	13
RL|S1|C16452	13
RL|S1|C16507	13
RL|S1|C16721	13
RL|S1|C17045	13
RL|S1|C17113	13
RL|S1|C17722	13
RL|S1|C18173	13
RL|S1|C18610	13
RL|S1|C19064	13
RL|S1|C19257	13
RL|S1|C1572	14
RL|S1|C1593	14
RL|S1|C2303	14
RL|S1|C3267	14
RL|S1|C3479	14
RL|S1|C3785	14
RL|S1|C3963	14
RL|S1|C4269	14
RL|S1|C5476	14
RL|S1|C5491	14
RL|S1|C5560	14
RL|S1|C6226	14
RL|S1|C6890	14
RL|S1|C7126	14
RL|S1|C7543	14
RL|S1|C7563	14
RL|S1|C7600	14
RL|S1|C8198	14
RL|S1|C8216	14
RL|S1|C8950	14
RL|S1|C9381	14
RL|S1|C9550	14
RL|S1|C9777	14
RL|S1|C10882	14
RL|S1|C11204	14
RL|S1|C11796	14
RL|S1|C12085	14
RL|S1|C12143	14
RL|S1|C12272	14
RL|S1|C12574	14
RL|S1|C13006	14
RL|S1|C13265	14
RL|S1|C13863	14
RL|S1|C14213	14
RL|S1|C14561	14
RL|S1|C15152	14
RL|S1|C16356	14
RL|S1|C17128	14
RL|S1|C17237	14
RL|S1|C17826	14
RL|S1|C17852	14
RL|S1|C18312	14
RL|S1|C19121	14
RL|S1|C328	15
RL|S1|C3296	15
RL|S1|C5475	15
RL|S1|C7045	15
RL|S1|C7707	15
RL|S1|C7829	15
RL|S1|C9205	15
RL|S1|C10012	15
RL|S1|C11166	15
RL|S1|C11379	15
RL|S1|C15302	15
RL|S1|C17450	15
RL|S1|C18097	15
RL|S1|C18322	15
RL|S1|C19115	15
RL|S1|C66	16
RL|S1|C261	16
RL|S1|C1548	16
RL|S1|C2008	16
RL|S1|C2726	16
RL|S1|C3373	16
RL|S1|C3767	16
RL|S1|C4615	16
RL|S1|C4616	16
RL|S1|C4914	16
RL|S1|C6168	16
RL|S1|C6177	16
RL|S1|C6252	16
RL|S1|C6550	16
RL|S1|C6643	16
RL|S1|C6851	16
RL|S1|C6970	16
RL|S1|C7011	16
RL|S1|C7309	16
RL|S1|C7484	16
RL|S1|C8571	16
RL|S1|C8856	16
RL|S1|C8957	16
RL|S1|C9932	16
RL|S1|C10693	16
RL|S1|C10732	16
RL|S1|C11072	16
RL|S1|C11235	16
RL|S1|C11958	16
RL|S1|C12588	16
RL|S1|C12645	16
RL|S1|C12727	16
RL|S1|C13231	16
RL|S1|C13862	16
RL|S1|C13881	16
RL|S1|C14018	16
RL|S1|C14148	16
RL|S1|C14343	16
RL|S1|C14465	16
RL|S1|C14780	16
RL|S1|C14907	16
RL|S1|C15607	16
RL|S1|C15757	16
RL|S1|C16304	16
RL|S1|C16393	16
RL|S1|C16943	16
RL|S1|C17171	16
RL|S1|C18105	16
RL|S1|C18217	16
RL|S1|C18279	16
RL|S1|C18580	16
RL|S1|C18674	16
RL|S1|C19138	16
RL|S1|C31	17
RL|S1|C280	17
RL|S1|C537	17
RL|S1|C620	17
RL|S1|C725	17
RL|S1|C792	17
RL|S1|C1056	17
RL|S1|C1200	17
RL|S1|C1383	17
RL|S1|C1412	17
RL|S1|C1495	17
RL|S1|C1679	17
RL|S1|C1857	17
RL|S1|C1912	17
RL|S1|C1949	17
RL|S1|C1963	17
RL|S1|C2113	17
RL|S1|C2561	17
RL|S1|C3362	17
RL|S1|C3408	17
RL|S1|C3861	17
RL|S1|C3883	17
RL|S1|C3934	17
RL|S1|C4037	17
RL|S1|C4124	17
RL|S1|C4461	17
RL|S1|C4835	17
RL|S1|C4890	17
RL|S1|C5136	17
RL|S1|C5486	17
RL|S1|C5703	17
RL|S1|C5736	17
RL|S1|C5794	17
RL|S1|C6120	17
RL|S1|C6163	17
RL|S1|C6285	17
RL|S1|C6307	17
RL|S1|C6312	17
RL|S1|C6479	17
RL|S1|C6537	17
RL|S1|C6694	17
RL|S1|C6728	17
RL|S1|C6878	17
RL|S1|C7146	17
RL|S1|C7164	17
RL|S1|C7325	17
RL|S1|C7331	17
RL|S1|C7387	17
RL|S1|C7406	17
RL|S1|C7409	17
RL|S1|C7423	17
RL|S1|C7463	17
RL|S1|C7514	17
RL|S1|C7571	17
RL|S1|C7693	17
RL|S1|C7713	17
RL|S1|C7746	17
RL|S1|C7752	17
RL|S1|C7791	17
RL|S1|C7895	17
RL|S1|C7903	17
RL|S1|C8131	17
RL|S1|C8412	17
RL|S1|C8419	17
RL|S1|C8478	17
RL|S1|C8520	17
RL|S1|C8699	17
RL|S1|C8713	17
RL|S1|C8862	17
RL|S1|C9012	17
RL|S1|C9109	17
RL|S1|C9328	17
RL|S1|C9402	17
RL|S1|C9545	17
RL|S1|C9649	17
RL|S1|C10032	17
RL|S1|C10154	17
RL|S1|C10277	17
RL|S1|C10298	17
RL|S1|C10373	17
RL|S1|C10424	17
RL|S1|C10699	17
RL|S1|C10961	17
RL|S1|C11393	17
RL|S1|C11655	17
RL|S1|C12063	17
RL|S1|C12199	17
RL|S1|C12486	17
RL|S1|C12597	17
RL|S1|C12656	17
RL|S1|C12785	17
RL|S1|C13349	17
RL|S1|C13447	17
RL|S1|C13489	17
RL|S1|C13494	17
RL|S1|C13514	17
RL|S1|C13784	17
RL|S1|C13905	17
RL|S1|C14717	17
RL|S1|C14766	17
RL|S1|C14811	17
RL|S1|C14876	17
RL|S1|C15081	17
RL|S1|C15126	17
RL|S1|C15156	17
RL|S1|C15314	17
RL|S1|C15589	17
RL|S1|C15597	17
RL|S1|C15614	17
RL|S1|C15697	17
RL|S1|C16134	17
RL|S1|C16166	17
RL|S1|C16264	17
RL|S1|C16707	17
RL|S1|C16725	17
RL|S1|C17031	17
RL|S1|C17065	17
RL|S1|C17076	17
RL|S1|C17378	17
RL|S1|C17549	17
RL|S1|C17639	17
RL|S1|C17934	17
RL|S1|C18143	17
RL|S1|C18188	17
RL|S1|C18241	17
RL|S1|C18249	17
RL|S1|C18323	17
RL|S1|C18504	17
RL|S1|C18732	17
RL|S1|C18960	17
RL|S1|C19111	17
RL|S1|C19114	17
RL|S1|C19161	17
RL|S1|C19291	17
RL|S1|C19474	17
RL|S1|C26	18
RL|S1|C54	18
RL|S1|C701	18
RL|S1|C1087	18
RL|S1|C1802	18
RL|S1|C2323	18
RL|S1|C2966	18
RL|S1|C3256	18
RL|S1|C3361	18
RL|S1|C3544	18
RL|S1|C3862	18
RL|S1|C4205	18
RL|S1|C4283	18
RL|S1|C4467	18
RL|S1|C4497	18
RL|S1|C5073	18
RL|S1|C5260	18
RL|S1|C5348	18
RL|S1|C5839	18
RL|S1|C6371	18
RL|S1|C6410	18
RL|S1|C7030	18
RL|S1|C8569	18
RL|S1|C8968	18
RL|S1|C9464	18
RL|S1|C9583	18
RL|S1|C9685	18
RL|S1|C9693	18
RL|S1|C9776	18
